"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"208",0,5,4,6,4,8,3,1,2,6
"209",8,1,4,5,1,9,5,4,9,2
"210",2,4,3,7,4,6,1,3,9,5
"211",2,7,4,8,3,5,6,7,2,6
"212",1,2,9,3,2,7,3,4,8,6
"213",6,8,3,2,3,1,6,0,0,9
"214",4,7,4,5,5,8,1,8,0,6
"215",9,2,5,9,8,6,9,7,7,0
"216",4,2,2,2,8,3,3,9,4,0
"217",1,8,0,6,4,5,3,5,9,8
"218",3,5,2,5,4,6,9,9,9,9
"219",9,7,3,0,5,6,4,5,5,5
"220",2,6,0,4,2,9,5,0,5,3
"221",5,4,2,9,8,0,1,7,2,4
"222",2,9,7,6,9,8,0,1,6,2
"223",9,2,4,1,5,8,5,2,1,0
"224",5,4,8,2,4,1,6,9,6,1
"225",4,6,5,6,1,5,8,1,8,6
"226",4,3,2,4,7,5,8,5,7,6
"227",2,3,8,3,8,9,4,6,0,4
"228",3,9,7,9,2,6,0,9,2,2
"229",3,2,2,8,8,0,9,0,5,1
"230",0,9,2,5,7,0,6,4,1,8
"231",4,5,4,2,1,5,1,3,0,1
"232",2,0,4,0,8,6,8,4,1,1
"233",4,5,8,6,4,7,1,1,7,1
"234",9,9,3,4,7,4,9,9,5,2
"235",8,5,8,4,1,8,9,6,3,3
"236",6,0,6,2,4,5,8,7,7,7
"237",7,5,7,7,1,3,8,4,1,8
"238",7,1,9,2,6,1,2,0,6,0
"239",6,3,3,8,1,1,7,1,1,8
"240",4,6,2,1,6,6,0,4,3,3
"241",0,8,8,5,1,9,0,7,8,8
"242",7,1,4,8,6,1,1,0,5,3
"243",1,0,1,0,7,4,3,6,7,7
"244",2,5,2,3,8,1,6,4,4,3
"245",8,2,9,3,9,9,9,8,3,3
"246",3,3,7,8,7,6,0,3,3,8
"247",4,6,5,7,3,9,1,3,9,1
"248",5,8,8,6,3,7,6,8,9,7
"249",1,4,7,1,7,5,9,9,7,8
"250",6,2,3,1,6,7,7,7,9,7
"251",7,2,5,6,4,2,7,5,3,7
"252",9,9,0,6,0,1,8,2,6,9
"253",4,6,2,7,4,1,1,8,1,7
"254",7,8,4,6,4,0,9,4,7,0
"255",9,1,3,4,4,6,4,9,5,2
"256",6,0,2,6,2,5,2,8,8,7
"257",8,6,3,9,5,4,2,3,9,5
"258",2,0,9,3,8,0,1,6,3,9
"259",5,3,3,4,5,7,1,0,8,3
"260",5,0,2,8,3,2,8,0,4,5
"261",4,1,5,5,9,0,1,0,7,7
"262",1,0,0,5,6,6,8,2,8,3
"263",1,7,1,7,0,5,8,8,2,4
"264",1,6,0,6,8,2,3,5,4,7
"265",1,5,4,5,9,5,1,3,2,6
"266",2,3,1,2,6,1,9,2,0,6
"267",9,8,6,2,3,9,9,5,4,7
"268",2,0,0,5,9,0,9,5,4,1
"269",6,2,3,2,1,2,8,3,3,4
"270",0,3,3,9,1,1,3,7,7,1
"271",9,7,9,9,4,7,9,1,2,0
"272",6,5,6,6,5,7,4,7,4,5
"273",3,7,5,2,7,1,1,8,6,1
"274",4,7,4,9,1,7,4,3,6,1
"275",8,1,5,5,5,5,5,7,3,2
"276",4,3,4,3,9,6,1,3,8,1
"277",3,9,5,6,8,7,0,8,7,0
"278",5,9,0,1,9,1,2,4,3,0
"279",4,4,8,2,4,7,2,7,6,2
"280",2,9,4,7,9,6,3,5,9,9
"281",0,5,5,7,2,4,1,2,7,9
"282",6,9,5,9,3,8,5,7,8,9
"283",3,7,3,4,1,2,8,0,1,9
"284",3,2,5,5,4,4,7,6,2,6
"285",2,9,4,0,3,7,4,5,3,4
"286",8,8,4,6,8,5,9,4,6,3
"287",5,0,7,7,8,3,4,2,2,4
"288",8,0,6,7,6,4,0,0,7,3
"289",6,8,1,0,5,9,8,5,7,6
"290",7,1,8,3,3,9,5,8,9,4
"291",6,8,6,0,0,6,1,5,9,1
"292",2,5,2,2,3,7,5,5,6,5
"293",5,7,7,9,1,1,0,8,0,9
"294",8,9,1,6,3,1,7,4,8,8
"295",4,8,6,0,9,1,7,1,3,5
"296",1,4,2,9,4,6,0,2,8,5
"297",8,7,5,6,3,7,3,5,5,1
"298",1,9,2,0,8,4,5,7,3,4
"299",9,5,0,3,2,0,6,2,4,7
"300",7,3,9,1,9,1,9,0,0,9
"301",6,0,9,3,7,3,9,0,9,0
"302",4,5,0,5,9,1,6,9,0,8
"303",1,3,3,9,3,9,2,4,5,7
"304",3,0,7,7,9,7,3,8,7,3
"305",1,9,5,0,0,6,3,2,7,7
"306",6,5,8,0,6,9,1,5,3,5
"307",7,2,9,0,3,8,8,5,5,8
"308",9,1,2,4,7,0,7,0,6,3
"309",3,5,9,1,3,8,3,5,7,0
"310",4,2,0,3,5,7,0,1,8,0
"311",7,1,5,2,4,4,6,5,5,4
"312",1,8,3,2,6,0,2,9,5,1
"313",4,3,2,8,7,8,7,3,3,1
"314",2,2,4,4,0,6,4,2,8,3
"315",7,8,8,2,5,6,2,6,5,9
"316",3,8,1,6,1,2,4,5,6,7
"317",1,2,2,0,1,0,0,8,1,9
"318",5,2,4,5,8,9,0,5,0,7
"319",1,6,8,7,0,8,7,8,9,7
"320",8,6,2,9,6,7,0,2,5,3
"321",6,1,9,9,9,9,8,8,7,0
"322",8,4,3,1,4,4,2,4,9,8
"323",0,5,5,4,8,6,3,3,6,6
"324",1,8,6,9,9,1,7,9,6,5
"325",2,5,9,2,7,7,3,4,6,8
"326",4,9,4,5,4,4,3,0,0,7
"327",0,8,8,9,7,7,1,4,4,5
"328",1,9,5,1,5,7,5,5,9,0
"329",2,5,6,3,4,9,0,4,4,5
"330",7,2,7,3,6,0,6,8,4,1
"331",3,9,6,3,7,7,2,2,6,2
"332",9,7,8,4,8,6,6,9,3,0
"333",3,4,3,2,8,4,9,7,8,0
"334",6,2,3,4,0,4,4,0,3,1
"335",9,5,5,7,5,3,3,4,3,6
"336",9,7,2,2,9,0,3,6,5,5
"337",3,2,1,2,6,4,7,0,9,5
"338",7,7,1,2,9,6,1,9,5,3
"339",1,0,5,3,5,0,8,8,2,2
"340",3,7,8,6,3,0,0,9,2,0
"341",3,1,6,8,8,9,5,5,8,1
"342",5,1,8,3,4,6,3,6,9,8
"343",4,6,4,2,6,9,7,9,4,0
"344",8,7,2,1,8,9,2,8,3,0
"345",2,8,6,7,7,6,3,7,4,7
"346",6,0,5,8,6,7,0,2,4,8
"347",2,4,0,3,1,3,0,0,1,2
"348",2,6,1,4,7,1,3,1,5,5
"349",6,6,6,8,5,4,7,9,7,5
"350",2,3,6,5,5,0,7,9,5,2
"351",8,1,6,4,6,6,3,9,6,1
"352",5,7,9,8,8,7,1,0,5,6
"353",9,3,2,4,6,4,7,0,4,3
"354",7,5,0,9,5,4,9,7,5,4
"355",7,1,4,6,3,8,4,5,0,1
"356",2,7,5,3,8,4,9,9,2,6
"357",3,6,8,8,9,1,8,9,1,9
"358",3,6,8,9,0,5,0,3,3,2
"359",4,1,6,9,5,9,7,8,9,9
"360",5,5,2,0,1,8,4,8,9,3
"361",5,3,6,4,1,3,5,1,1,2
"362",2,3,2,6,4,8,6,8,3,1
"363",6,9,7,9,6,5,1,6,8,6
"364",0,4,7,9,3,1,9,4,4,5
"365",4,9,2,8,0,4,4,3,8,1
"366",5,9,7,0,5,4,8,0,3,8
"367",7,3,4,9,1,4,6,3,9,9
"368",8,9,0,8,5,0,2,1,2,3
"369",3,6,3,1,3,4,2,1,0,7
"370",1,5,3,4,2,7,3,6,3,2
"371",9,9,2,9,4,1,9,3,5,4
"372",1,4,2,2,4,4,8,0,1,5
"373",2,9,6,1,7,8,0,3,3,7
"374",0,3,3,8,6,3,3,3,6,0
"375",2,4,6,0,8,3,4,5,0,2
"376",2,1,0,7,2,4,9,7,1,7
"377",7,0,2,1,8,3,6,9,0,4
"378",5,6,5,8,6,6,1,1,4,9
"379",8,5,3,5,9,7,6,4,0,3
"380",5,6,8,6,3,6,3,2,3,8
"381",8,8,5,6,7,9,6,9,9,0
"382",2,5,9,4,1,8,0,9,7,3
"383",2,1,2,2,6,1,3,1,4,8
"384",9,9,1,5,9,3,1,2,1,0
"385",8,4,2,8,2,8,1,9,8,2
"386",1,1,3,7,8,0,9,3,8,4
"387",0,1,0,1,5,6,3,5,7,8
"388",0,4,2,3,9,6,5,8,6,1
"389",0,1,6,2,5,5,2,7,3,1
"390",5,7,0,7,0,9,5,3,0,8
"391",1,5,3,4,9,6,9,3,1,1
"392",0,3,2,5,2,1,8,8,4,4
"393",1,4,7,3,8,8,2,5,6,6
"394",3,1,9,7,2,2,1,8,0,8
"395",9,5,1,3,0,9,4,8,2,2
"396",7,2,2,1,8,2,8,2,7,0
"397",3,6,0,3,9,4,3,1,5,4
"398",5,3,5,3,2,0,2,2,0,1
"399",8,7,6,4,1,1,9,6,4,4
"400",2,4,7,2,8,6,4,4,1,7
"401",0,4,4,5,9,7,8,1,2,7
"402",2,1,9,8,6,4,1,9,1,1
"403",3,2,4,9,7,2,1,0,7,0
"404",5,4,5,6,7,5,5,7,5,8
"405",1,4,7,7,5,0,0,1,2,2
"406",0,2,7,6,0,9,5,9,3,8
"407",6,9,2,6,3,1,9,4,8,5
"408",4,6,7,6,1,1,2,4,7,0
"409",4,0,9,6,9,6,4,2,3,2
"410",9,4,5,0,9,8,8,6,3,8
"411",1,3,2,0,6,1,2,2,0,4
"412",6,7,6,9,7,5,2,2,6,4
"413",4,1,4,8,6,7,3,7,4,3
"414",4,6,7,6,6,0,4,1,2,5
"415",8,1,1,4,3,5,2,8,1,2
"416",0,7,6,6,7,4,7,6,9,0
"417",2,2,0,4,4,7,5,0,0,2
"418",1,9,8,3,5,5,6,9,0,6
"419",9,6,1,6,4,2,0,0,7,8
"420",4,4,7,3,5,1,6,3,0,0
"421",6,4,4,7,7,4,6,5,9,6
"422",9,4,3,5,3,0,8,6,2,9
"423",0,1,1,6,9,8,4,3,9,6
"424",0,2,6,6,3,1,3,5,7,6
"425",2,7,8,4,5,3,8,3,0,3
"426",2,0,6,7,0,7,9,7,4,0
"427",0,9,2,7,9,5,5,9,9,4
"428",5,9,6,7,6,9,5,5,5,9
"429",7,3,8,0,3,4,6,2,1,3
"430",7,8,1,8,9,0,1,4,0,5
"431",4,6,1,6,8,1,3,8,1,0
"432",2,4,4,2,8,0,0,3,7,4
"433",3,1,1,1,3,7,3,0,7,2
"434",2,5,8,5,0,4,3,8,2,0
"435",2,2,3,7,9,6,1,0,1,1
"436",7,6,8,5,6,8,6,9,8,2
"437",6,0,5,3,7,9,0,9,5,7
"438",7,0,0,3,9,5,0,9,0,8
"439",1,5,1,5,7,9,6,5,2,1
"440",2,6,0,4,2,3,5,3,8,2
"441",5,1,6,8,2,6,0,9,0,7
"442",9,6,0,2,5,7,3,8,2,1
"443",9,3,9,9,7,6,8,1,9,2
"444",0,1,0,2,6,7,8,7,0,7
"445",0,2,1,9,4,3,9,1,4,0
"446",6,9,5,1,9,1,4,2,6,1
"447",2,3,0,4,6,9,3,7,2,6
"448",1,7,4,0,0,2,0,2,7,2
"449",2,5,8,3,6,5,5,1,3,7
"450",8,9,4,5,0,5,6,3,2,9
"451",1,0,2,5,0,9,9,9,0,5
"452",1,0,3,3,8,9,6,5,5,9
"453",9,7,3,6,8,7,3,2,1,3
"454",7,7,5,7,1,7,1,9,7,6
"455",3,2,6,2,0,6,2,2,6,4
"456",7,7,9,8,9,7,3,6,3,2
"457",8,6,0,6,2,4,5,9,7,3
"458",4,6,5,8,8,0,2,5,7,0
"459",0,3,9,2,4,1,9,3,2,5
"460",3,5,9,6,8,2,8,6,4,8
"461",8,1,8,4,0,1,1,9,4,1
"462",3,4,3,1,7,7,3,7,6,2
"463",0,1,6,1,3,0,4,1,5,9
"464",9,5,5,1,0,2,5,0,9,1
"465",6,9,2,9,5,1,6,2,3,6
"466",0,5,1,6,5,7,2,9,1,6
"467",1,3,8,6,1,2,2,6,2,2
"468",8,3,8,0,5,0,3,9,4,1
"469",4,5,6,4,7,2,0,0,7,6
"470",8,9,3,8,5,0,9,8,9,0
"471",1,2,5,1,5,7,7,2,0,2
"472",2,9,2,7,5,7,4,3,5,8
"473",7,6,2,0,4,0,2,0,0,4
"474",3,8,4,2,5,5,1,6,1,9
"475",2,4,2,6,9,0,8,9,2,4
"476",1,7,1,9,8,1,8,9,2,0
"477",1,2,3,9,8,8,3,2,4,7
"478",9,4,7,8,2,9,6,5,0,1
"479",8,9,9,8,6,2,7,0,2,7
"480",4,2,3,8,0,3,0,8,7,4
"481",0,8,5,3,7,2,4,3,5,1
"482",2,2,1,1,5,0,8,5,9,8
"483",4,3,6,8,9,1,5,6,0,4
"484",1,4,7,0,4,8,5,5,6,7
"485",4,4,5,9,2,9,2,0,7,5
"486",9,6,8,4,5,6,6,8,8,3
"487",4,9,6,6,6,6,1,2,6,1
"488",3,5,9,1,7,2,4,0,2,9
"489",3,1,0,1,2,9,4,3,5,7
"490",7,1,7,4,3,5,3,2,5,8
"491",7,3,4,0,1,9,7,0,6,3
"492",4,5,0,1,6,0,2,2,8,9
"493",8,7,2,9,2,2,8,1,6,3
"494",4,0,1,7,7,0,7,7,6,5
"495",9,1,1,9,1,2,1,4,8,6
"496",2,2,5,4,3,1,5,0,2,6
"497",0,6,5,1,6,4,3,5,5,1
"498",2,6,4,6,2,8,6,0,8,3
"499",0,4,5,7,7,0,2,3,6,0
"500",6,6,8,7,0,9,5,9,3,7
"501",4,5,7,4,6,2,9,6,6,5
"502",0,0,4,1,6,1,1,2,3,9
"503",0,0,1,6,7,1,1,4,2,7
"504",5,4,8,2,2,0,9,4,8,6
"505",1,4,9,6,9,5,3,6,6,9
"506",1,0,7,5,4,6,1,0,5,6
"507",8,9,2,2,7,2,9,7,7,0
"508",4,8,3,4,2,7,4,8,2,1
"509",6,7,1,8,7,6,6,8,3,7
"510",2,0,8,4,3,4,6,2,8,6
"511",2,3,5,5,4,6,9,1,1,1
"512",4,2,8,5,5,2,9,8,9,3
"513",9,6,0,7,1,5,8,4,0,4
"514",4,0,1,1,7,5,7,0,7,0
"515",0,9,8,9,4,0,8,6,0,4
"516",5,7,8,8,0,3,9,0,4,1
"517",3,1,7,7,6,0,3,6,3,1
"518",6,8,8,6,6,9,0,6,5,1
"519",6,6,7,0,9,9,7,9,8,3
"520",7,5,6,3,4,8,1,6,2,8
"521",9,9,0,2,9,2,2,2,6,1
"522",1,4,1,8,2,2,0,2,0,3
"523",2,0,4,1,6,6,3,2,7,6
"524",7,2,8,6,6,3,6,7,2,0
"525",3,3,4,7,2,2,1,0,4,6
"526",4,0,4,4,9,3,3,3,2,1
"527",9,5,9,5,6,2,4,6,6,1
"528",1,7,7,6,0,8,5,2,8,3
"529",6,0,3,0,7,9,6,7,0,2
"530",6,3,5,3,3,5,8,3,5,3
"531",3,7,6,1,1,4,8,2,4,6
"532",6,0,9,6,4,0,5,9,0,6
"533",6,9,8,2,2,2,3,9,4,3
"534",0,1,9,5,1,5,0,2,4,4
"535",5,9,2,5,5,0,3,6,0,2
"536",6,3,1,0,8,2,0,3,0,2
"537",1,2,1,0,4,8,3,5,8,3
"538",7,0,5,1,7,2,1,1,7,7
"539",4,0,3,2,0,0,3,7,4,0
"540",7,1,3,3,7,3,3,3,7,7
"541",0,3,2,6,3,4,9,4,8,3
"542",1,7,4,4,2,1,9,8,7,9
"543",8,1,2,1,9,1,8,6,2,2
"544",5,0,4,5,7,0,6,7,2,8
"545",4,3,5,4,9,1,9,5,0,2
"546",9,3,2,6,5,4,0,4,7,2
"547",4,9,5,4,5,0,1,3,9,1
"548",5,9,7,3,1,0,1,4,4,2
"549",0,3,4,9,7,2,3,1,4,7
"550",4,9,5,2,3,4,5,6,1,4
"551",7,0,7,5,3,5,1,9,8,0
"552",4,6,5,1,2,4,8,1,8,6
"553",6,3,0,7,0,0,5,5,8,9
"554",5,3,2,0,5,4,8,2,7,9
"555",7,7,6,5,4,3,4,8,7,4
"556",4,2,8,5,5,3,8,9,4,4
"557",0,6,2,2,2,4,4,3,8,2
"558",2,4,6,3,5,9,2,4,4,4
"559",6,2,3,8,7,8,9,6,8,2
"560",3,9,9,0,1,4,8,8,6,5
"561",9,1,2,0,7,6,5,3,3,2
"562",7,9,9,5,3,8,0,0,0,2
"563",5,5,7,9,1,0,9,3,5,0
"564",2,2,1,4,2,6,0,7,6,9
"565",7,9,4,6,3,8,3,0,0,9
"566",8,2,6,7,3,3,3,3,7,0
"567",0,8,2,5,8,5,9,7,0,5
"568",1,3,8,5,5,6,6,1,1,4
"569",4,5,4,9,2,2,5,9,4,7
"570",7,2,5,2,4,6,5,7,9,0
"571",3,8,7,8,8,6,2,4,4,7
"572",2,4,7,9,4,9,1,4,1,3
"573",9,6,9,8,3,3,2,5,1,9
"574",4,6,4,7,7,1,9,0,8,2
"575",5,7,7,8,6,0,2,8,2,2
"576",4,0,3,2,5,3,5,9,0,0
"577",0,7,5,1,0,8,8,7,1,7
"578",2,5,0,1,9,4,7,6,4,2
"579",8,9,5,6,6,7,6,7,8,4
"580",9,6,1,2,0,8,7,0,9,6
"581",9,0,3,7,4,0,9,8,3,5
"582",0,0,7,6,8,7,9,9,2,7
"583",4,8,4,6,1,3,8,4,4,8
"584",9,2,3,8,9,8,7,8,5,1
"585",3,2,9,9,3,4,3,2,9,4
"586",5,3,9,3,2,0,2,3,3,3
"587",1,7,5,6,1,8,8,6,3,2
"588",9,1,5,6,9,2,5,3,4,2
"589",6,9,0,9,5,4,9,2,1,1
"590",5,4,1,1,5,6,8,4,5,0
"591",7,5,2,0,8,3,7,2,8,6
"592",1,1,7,4,8,3,2,1,9,9
"593",6,2,0,8,0,0,9,4,0,2
"594",7,2,4,9,1,6,7,2,7,3
"595",4,0,9,5,4,9,4,5,5,3
"596",8,7,9,2,3,2,0,9,8,9
"597",3,5,4,1,8,8,9,4,2,6
"598",1,0,1,6,6,8,4,7,1,7
"599",7,3,5,6,3,0,0,2,3,9
"600",6,3,8,2,6,0,3,9,6,1
"601",6,0,9,9,4,9,4,4,7,1
"602",4,1,5,6,1,2,2,1,0,4
"603",1,5,1,5,7,1,0,6,8,6
"604",1,5,6,1,4,2,4,5,8,5
"605",6,9,5,5,1,9,6,9,3,5
